Time (s) Triangle,Voltage, Ch A (V) Triangle,Current, Ch B (A) Triangle,InductorV (V) Triangle,Slope (A/s) Triangle,Time (s) Sine,Voltage, Ch A (V) Sine,Current, Ch B (A) Sine,InductorV (V) Sine,Slope (A/s) Sine,Time (s) Square,Voltage, Ch A (V) Square,Current, Ch B (A) Square,InductorV (V) Square,Slope (A/s) Square
0.003,,,,-38.09,0.003,,,,50.78,0.003,,,,0.12
0.003,-1.047,-0.005,-0.88,,0.003,1.856,0.023,1.11,,0.003,-1.544,-0.047,0.02,
0.003,,,,-39.06,0.003,,,,46.39,0.003,,,,0.61
0.003,-1.172,-0.009,-0.87,,0.003,1.918,0.027,1.02,,0.003,-1.542,-0.047,0.02,
0.003,,,,-36.01,0.003,,,,43.46,0.003,,,,0.00
0.003,-1.295,-0.013,-0.88,,0.003,1.950,0.032,0.91,,0.003,-1.542,-0.047,0.02,
0.003,,,,-39.31,0.003,,,,37.23,0.003,,,,8.91
0.003,-1.420,-0.017,-0.87,,0.003,1.951,0.035,0.79,,0.003,0.356,-0.047,1.89,
0.003,,,,-37.11,0.003,,,,33.57,0.003,,,,210.33
0.003,-1.542,-0.020,-0.87,,0.003,1.923,0.039,0.65,,0.003,5.315,-0.025,6.16,
0.003,,,,-37.96,0.003,,,,25.63,0.003,,,,222.53
0.003,-1.665,-0.024,-0.87,,0.003,1.862,0.041,0.50,,0.003,4.165,-0.003,4.27,
0.003,,,,-38.70,0.003,,,,20.26,0.003,,,,154.91
0.003,-1.790,-0.028,-0.87,,0.003,1.772,0.043,0.35,,0.003,3.365,0.012,2.96,
0.003,,,,-37.96,0.003,,,,11.11,0.003,,,,106.69
0.003,-1.913,-0.032,-0.86,,0.003,1.655,0.044,0.19,,0.003,2.811,0.023,2.05,
0.003,,,,-38.09,0.003,,,,6.71,0.003,,,,75.56
0.004,-2.028,-0.036,-0.85,,0.004,1.512,0.045,0.03,,0.004,2.424,0.030,1.42,
0.004,,,,-30.64,0.004,,,,-1.34,0.004,,,,52.12
0.004,-1.779,-0.039,-0.50,,0.004,1.344,0.045,-0.13,,0.004,2.155,0.036,0.98,
0.004,,,,-15.01,0.004,,,,-7.45,0.004,,,,37.96
0.004,-1.395,-0.040,-0.07,,0.004,1.156,0.044,-0.30,,0.004,1.969,0.040,0.67,
0.004,,,,3.30,0.004,,,,-16.48,0.004,,,,24.54
0.004,-1.089,-0.040,0.22,,0.004,0.948,0.042,-0.45,,0.004,1.838,0.042,0.45,
0.004,,,,14.40,0.004,,,,-21.00,0.004,,,,17.09
0.004,-0.839,-0.038,0.43,,0.004,0.727,0.040,-0.60,,0.004,1.749,0.044,0.31,
0.004,,,,21.12,0.004,,,,-26.86,0.004,,,,12.82
0.004,-0.628,-0.036,0.57,,0.004,0.495,0.038,-0.75,,0.004,1.686,0.045,0.20,
0.004,,,,24.78,0.004,,,,-34.67,0.004,,,,7.93
0.004,-0.444,-0.034,0.67,,0.004,0.255,0.034,-0.87,,0.004,1.643,0.046,0.13,
0.004,,,,31.25,0.004,,,,-39.79,0.004,,,,5.25
0.004,-0.278,-0.031,0.73,,0.004,0.008,0.030,-0.99,,0.004,1.610,0.046,0.08,
0.004,,,,31.01,0.004,,,,-44.19,0.004,,,,5.13
0.004,-0.125,-0.028,0.78,,0.004,-0.236,0.026,-1.09,,0.004,1.590,0.047,0.05,
0.004,,,,34.42,0.004,,,,-46.87,0.004,,,,1.95
0.004,0.019,-0.024,0.82,,0.004,-0.477,0.021,-1.17,,0.004,1.575,0.047,0.02,
0.004,,,,36.62,0.004,,,,-52.25,0.004,,,,2.08
0.005,0.157,-0.020,0.83,,0.005,-0.710,0.016,-1.23,,0.005,1.564,0.047,0.01,
0.005,,,,36.74,0.005,,,,-52.49,0.005,,,,0.49
0.005,0.290,-0.017,0.84,,0.005,-0.932,0.011,-1.28,,0.005,1.557,0.047,0.00,
0.005,,,,34.30,0.005,,,,-56.52,0.005,,,,2.81
0.005,0.420,-0.013,0.86,,0.005,-1.140,0.005,-1.30,,0.005,1.553,0.048,-0.02,
0.005,,,,37.11,0.005,,,,-57.25,0.005,,,,-0.37
0.005,0.549,-0.010,0.87,,0.005,-1.331,-7.629E-4,-1.31,,0.005,1.549,0.047,-0.02,
0.005,,,,37.60,0.005,,,,-56.40,0.005,,,,-0.98
0.005,0.674,-0.006,0.87,,0.005,-1.499,-0.006,-1.29,,0.005,1.546,0.047,-0.02,
0.005,,,,38.70,0.005,,,,-54.44,0.005,,,,2.20
0.005,0.799,-0.002,0.87,,0.005,-1.645,-0.012,-1.25,,0.005,1.546,0.048,-0.03,
0.005,,,,36.25,0.005,,,,-52.73,0.005,,,,-0.24
0.005,0.924,0.002,0.87,,0.005,-1.764,-0.017,-1.20,,0.005,1.544,0.048,-0.03,
0.005,,,,39.43,0.005,,,,-49.19,0.005,,,,-0.12
0.005,1.049,0.006,0.87,,0.005,-1.855,-0.022,-1.13,,0.005,1.544,0.048,-0.03,
0.005,,,,37.60,0.005,,,,-48.71,0.005,,,,1.59
0.005,1.172,0.009,0.87,,0.005,-1.918,-0.027,-1.03,,0.005,1.543,0.048,-0.03,
0.005,,,,37.96,0.005,,,,-43.46,0.005,,,,-0.49
0.005,1.296,0.013,0.86,,0.005,-1.949,-0.031,-0.92,,0.005,1.543,0.048,-0.03,
0.005,,,,36.62,0.005,,,,-37.23,0.005,,,,-9.03
0.006,1.419,0.017,0.87,,0.006,-1.950,-0.035,-0.80,,0.006,-0.355,0.047,-1.90,
0.006,,,,38.70,0.006,,,,-32.71,0.006,,,,-209.72
0.006,1.544,0.021,0.86,,0.006,-1.921,-0.038,-0.66,,0.006,-5.314,0.026,-6.17,
0.006,,,,38.09,0.006,,,,-27.34,0.006,,,,-224.85
0.006,1.667,0.024,0.86,,0.006,-1.862,-0.041,-0.51,,0.006,-4.165,0.003,-4.27,
0.006,,,,37.96,0.006,,,,-18.55,0.006,,,,-153.44
0.006,1.790,0.028,0.86,,0.006,-1.772,-0.043,-0.36,,0.006,-3.365,-0.012,-2.97,
0.006,,,,37.72,0.006,,,,-11.84,0.006,,,,-108.15
0.006,1.913,0.032,0.86,,0.006,-1.655,-0.044,-0.20,,0.006,-2.810,-0.023,-2.06,
0.006,,,,38.94,0.006,,,,-7.32,0.006,,,,-74.10
0.006,2.030,0.036,0.85,,0.006,-1.511,-0.045,-0.03,,0.006,-2.423,-0.030,-1.42,
0.006,,,,30.52,0.006,,,,2.20,0.006,,,,-52.73
0.006,1.780,0.039,0.49,,0.006,-1.344,-0.045,0.13,,0.006,-2.154,-0.036,-0.98,
0.006,,,,13.31,0.006,,,,7.32,0.006,,,,-35.64
0.006,1.395,0.040,0.07,,0.006,-1.155,-0.044,0.29,,0.006,-1.967,-0.039,-0.68,
0.006,,,,-3.78,0.006,,,,14.65,0.006,,,,-24.78
0.006,1.090,0.040,-0.23,,0.006,-0.947,-0.042,0.45,,0.006,-1.837,-0.042,-0.47,
0.006,,,,-12.08,0.006,,,,21.97,0.006,,,,-18.43
0.006,0.840,0.039,-0.44,,0.006,-0.727,-0.040,0.60,,0.006,-1.747,-0.043,-0.31,
0.006,,,,-21.97,0.006,,,,28.93,0.006,,,,-11.96
0.007,0.628,0.037,-0.58,,0.007,-0.494,-0.037,0.74,,0.007,-1.685,-0.045,-0.21,
0.007,,,,-25.63,0.007,,,,34.18,0.007,,,,-8.67
0.007,0.445,0.034,-0.67,,0.007,-0.253,-0.034,0.86,,0.007,-1.641,-0.045,-0.14,
0.007,,,,-30.52,0.007,,,,39.79,0.007,,,,-5.98
0.007,0.279,0.031,-0.74,,0.007,-0.008,-0.030,0.98,,0.007,-1.611,-0.046,-0.09,
0.007,,,,-32.96,0.007,,,,42.97,0.007,,,,-3.30
0.007,0.126,0.028,-0.79,,0.007,0.238,-0.026,1.08,,0.007,-1.588,-0.046,-0.06,
0.007,,,,-32.10,0.007,,,,47.85,0.007,,,,-2.08
0.007,-0.017,0.024,-0.82,,0.007,0.479,-0.021,1.16,,0.007,-1.574,-0.047,-0.04,
0.007,,,,-35.03,0.007,,,,51.88,0.007,,,,-3.66
0.007,-0.155,0.021,-0.84,,0.007,0.711,-0.016,1.23,,0.007,-1.565,-0.047,-0.01,
0.007,,,,-35.52,0.007,,,,55.05,0.007,,,,-1.22
0.007,-0.289,0.017,-0.86,,0.007,0.935,-0.010,1.27,,0.007,-1.558,-0.047,0.00,
0.007,,,,-38.33,0.007,,,,54.20,0.007,,,,-1.34
0.007,-0.420,0.013,-0.86,,0.007,1.142,-0.005,1.30,,0.007,-1.553,-0.047,0.01,
